qid,bid,country,date,wt,form,samp,a1,q1,q13,v13,sex,q101,q102,q102_insh,q102a,q103,q103_insh,q104,q104_insh,q105,q105_insh,q105a,q106,q2011,q2013,q2014,q2016,q2017,q20112,q20113,q20114,q20115,q20116,q20117,q20118,q20119,q202,q202_insh,q2031,q2032,q2033,q2034,q2035,q2037,q2042,q2043,q2044,q20412,q20416,q20417,q20418,q20419,q2054,q2055,q2061,q2062,q210,q210a,q211,q211_insh,q213,q214,q216,q217,q2185,q240,q301,q302,q303,q304a,q304,q402,q402a,q403,q404,q405,q4061,q4062,q4063,q4064,q4065,q407,q409,q4101,q4102,q4103,q4111,q4112,q4113,q4114,q4115,q5012,q5013,q5014,q5015,q5016,q5017,q50110,q50111,q501b,q5021,q5022,q503,q504,q511,q512,q513,q514,q5151,q5152,q5161,q5162,q5163,q5164,q5165,q5167,q5171,q5172,q5181,q518a2,q518b2,q5183,q5184,q5185,q5201,q5202,q5203,q5204,q5206,q5207,q5208,q5211,q5212,q5213,q5214,q5215,q5216,q5217,q5221,q5224,q523,q530,q6012,q6013,q6014,q603,q6041,q6043,q6045,q6051,q6052,q6053,q6054,q6055,q6056,q605a,q605b1,q605b2,q6061,q6062,q6063,q6064,q6065,q6066,q6071,q6072,q6073,q6074,q6076,q6082,q6087,q608a,q608b,q609,q6101,q6105,q6106,q615,q616,q617,q618,q7001,q7002,q7003,q7004,q7006,q7007,q7008,q7009,q70010,q70011,q70012,q70013,q70014,q70015,q70016,q700a1,q700a2,q700a3,q700a4,q700a6,q700a7,q700a8,q700a9,q700a10,q700a11,q700a12,q700a13,q700a14,q700a15,q700a16,q7011,q7012,q7013,q701a,q701b,q701c,q701d1,q701d2,q701d3,q701d4,q701d5,q701d6,q702,q703,q704,q705,q706,q707,q708a,q708kw,q709,q7111,q7112,q7113,q713,q800a,q800b,q800c,q800d1,q800d2,q800d3,q800d4,q800d5,q800d6,q800d7,q800d8,q800d9,q810a,q8111,q8112,q8113,q811a1,q811a2,q811a3,q812a1,q812a2,q812a3,q812a4,q812a5,q812a6,q812a7,q812a8,q817a,q818yem,q1001,q1002,q1003,q1003t,q1003yem,q1004,q1005,q1006,q1006a,q1007,q1007a,q1009,q1010,q1011,q1011a,q1011b,q1012,q1012a,q1013,q1014,q1015,q1016,q1017,q1019_1,q1019_2,q1020jo,q2001ir,q2003,q2004ir,q2005kw
653.0,66.0,21.0,2013-02-27,2.0991506229524983,2.0,1.0,,10013.0,1.0,,2.0,4.0,4.0,2.0,3.0,2.0,2.0,5.0,2.0,4.0,2.0,3.0,3.0,2.0,3.0,4.0,1.0,8.0,2.0,2.0,,,,,,,3.0,2.0,5.0,5.0,4.0,4.0,,,3.0,4.0,3.0,3.0,,,,,3.0,3.0,1.0,6.0,1.0,1.0,4.0,2.0,1.0,2.0,1.0,1.0,3.0,6.0,1.0,1.0,1.0,,,1.0,1.0,2.0,4.0,4.0,4.0,4.0,4.0,5.0,1.0,5.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,3.0,1.0,0.0,4.0,4.0,5.0,3.0,1.0,3.0,4.0,3.0,3.0,3.0,1.0,2.0,2.0,1.0,4.0,1.0,,4.0,4.0,4.0,4.0,5.0,6.0,1.0,2.0,3.0,4.0,7.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,8.0,,4.0,5.0,1.0,3.0,4.0,2.0,2.0,4.0,2.0,2.0,3.0,1.0,4.0,4.0,1.0,1.0,1.0,3.0,1.0,3.0,3.0,1.0,2.0,1.0,3.0,2.0,2.0,1.0,3.0,3.0,2.0,,2.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,1.0,3.0,1.0,3.0,,,,,,,,,,,3.0,3.0,3.0,3.0,3.0,3.0,2.0,,,,,,,,,3.0,3.0,3.0,1.0,4.0,1.0,2.0,3.0,1.0,3.0,3.0,1.0,5.0,3.0,2.0,3.0,2.0,2.0,,,2.0,2.0,1.0,2.0,6.0,2.0,,4.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,,,1.0,1.0,2.0,8.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,,21.0,2.0,,5.0,,2.0,3.0,,,,,,1.0,,1.0,2.0,1.0,,1.0,9999994.0,3000.0,3.0,4.0,1.0,3.0,,,,,
654.0,66.0,21.0,2013-02-27,0.9654368656363812,2.0,1.0,,10013.0,1.0,,1.0,4.0,3.0,2.0,2.0,2.0,2.0,5.0,2.0,2.0,2.0,3.0,3.0,4.0,4.0,4.0,1.0,1.0,4.0,4.0,,,,,,,3.0,2.0,4.0,4.0,4.0,4.0,,,4.0,4.0,4.0,4.0,,,,,5.0,5.0,1.0,6.0,1.0,3.0,2.0,2.0,1.0,1.0,2.0,1.0,3.0,10.0,2.0,2.0,1.0,,,2.0,1.0,1.0,2.0,1.0,1.0,3.0,5.0,5.0,5.0,1.0,5.0,,,,,,,,,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,3.0,3.0,10022.0,2.0,6.0,2.0,0.0,4.0,1.0,5.0,4.0,1.0,2.0,2.0,2.0,2.0,1.0,4.0,4.0,,2.0,4.0,2.0,4.0,2.0,4.0,6.0,3.0,1.0,5.0,7.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,,4.0,3.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,3.0,2.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,3.0,3.0,4.0,4.0,4.0,1.0,1.0,1.0,2.0,1.0,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,,,,,,,,,,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,,,,5.0,5.0,5.0,1.0,1.0,4.0,5.0,5.0,2.0,2.0,2.0,1.0,5.0,2.0,8.0,2.0,1.0,8.0,,,2.0,8.0,1.0,1.0,6.0,2.0,,4.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,,,3.0,1.0,8.0,9.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,8.0,,51.0,1.0,,2.0,,2.0,5.0,,,,,,2.0,11.0,2.0,2.0,1.0,,1.0,200.0,200.0,4.0,4.0,1.0,3.0,,,,,
655.0,66.0,21.0,2013-02-27,0.8718439844053547,2.0,1.0,,10013.0,1.0,,2.0,3.0,2.0,2.0,3.0,2.0,2.0,5.0,2.0,2.0,2.0,1.0,2.0,4.0,4.0,2.0,1.0,2.0,4.0,4.0,,,,,,,3.0,2.0,5.0,4.0,3.0,2.0,,,4.0,4.0,4.0,3.0,,,,,5.0,5.0,1.0,6.0,1.0,2.0,4.0,2.0,1.0,8.0,2.0,2.0,2.0,4.0,1.0,2.0,1.0,,,2.0,1.0,2.0,3.0,2.0,1.0,2.0,5.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,3.0,3.0,0.0,8.0,1.0,5.0,6.0,2.0,1.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,,4.0,4.0,4.0,4.0,2.0,4.0,5.0,1.0,3.0,6.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,,4.0,9.0,2.0,3.0,2.0,1.0,4.0,2.0,1.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,1.0,9.0,1.0,4.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,,,,,,,,,,,2.0,2.0,2.0,2.0,3.0,2.0,2.0,,,,,,,,,2.0,2.0,3.0,2.0,1.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,5.0,2.0,3.0,1.0,4.0,1.0,,,2.0,3.0,3.0,2.0,6.0,2.0,,5.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,1.0,2.0,3.0,8.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,,44.0,2.0,,4.0,,2.0,2.0,,,,,,2.0,11.0,1.0,2.0,1.0,,1.0,9999994.0,250.0,3.0,4.0,1.0,3.0,,,,,
656.0,66.0,21.0,2013-02-27,0.5516781871792086,1.0,1.0,,10013.0,1.0,,1.0,4.0,5.0,2.0,3.0,2.0,2.0,5.0,2.0,4.0,2.0,3.0,2.0,4.0,4.0,2.0,1.0,4.0,4.0,4.0,,,,,,,4.0,2.0,5.0,5.0,5.0,5.0,,,4.0,4.0,4.0,4.0,,,,,4.0,5.0,1.0,6.0,1.0,1.0,4.0,2.0,1.0,2.0,4.0,1.0,1.0,3.0,2.0,2.0,3.0,,,2.0,1.0,2.0,2.0,1.0,1.0,4.0,4.0,2.0,5.0,1.0,5.0,,,,,,,,,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,3.0,3.0,10022.0,5.0,0.0,0.0,0.0,4.0,6.0,4.0,4.0,2.0,2.0,2.0,2.0,3.0,1.0,4.0,1.0,4.0,,4.0,4.0,4.0,1.0,2.0,5.0,4.0,3.0,6.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,4.0,2.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,1.0,1.0,2.0,1.0,2.0,1.0,4.0,4.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,2.0,3.0,1.0,,1.0,1.0,1.0,3.0,3.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,,,,,,,,,,,1.0,1.0,1.0,1.0,3.0,1.0,1.0,,,,,,,,,3.0,3.0,4.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,1.0,2.0,1.0,2.0,1.0,,,2.0,2.0,2.0,3.0,4.0,2.0,,6.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,1.0,2.0,8.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,46.0,1.0,,4.0,,1.0,,1.0,2.0,,7.0,3.0,2.0,11.0,2.0,1.0,1.0,,1.0,200.0,300.0,3.0,4.0,1.0,3.0,,,,,
657.0,66.0,21.0,2013-02-27,2.065379390752247,1.0,1.0,,10013.0,1.0,,2.0,4.0,3.0,2.0,3.0,2.0,2.0,5.0,2.0,1.0,2.0,1.0,1.0,4.0,4.0,1.0,1.0,1.0,4.0,1.0,,,,,,,8.0,2.0,5.0,5.0,2.0,2.0,,,8.0,8.0,8.0,8.0,,,,,1.0,1.0,1.0,6.0,8.0,,,,2.0,8.0,8.0,1.0,1.0,10.0,2.0,2.0,1.0,,,2.0,1.0,8.0,4.0,4.0,3.0,5.0,5.0,5.0,5.0,1.0,5.0,,,,,,,,,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,3.0,3.0,0.0,8.0,98.0,98.0,98.0,4.0,3.0,4.0,8.0,8.0,8.0,8.0,8.0,8.0,1.0,4.0,3.0,4.0,,4.0,4.0,4.0,2.0,4.0,5.0,6.0,1.0,3.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,4.0,98.0,1.0,1.0,4.0,4.0,4.0,4.0,2.0,8.0,8.0,8.0,8.0,2.0,1.0,3.0,1.0,8.0,2.0,8.0,8.0,2.0,8.0,8.0,4.0,3.0,1.0,1.0,1.0,8.0,1.0,3.0,,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0,3.0,1.0,3.0,,,,,,,,,,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,,,,8.0,8.0,8.0,1.0,8.0,2.0,5.0,8.0,8.0,8.0,1.0,1.0,5.0,1.0,8.0,1.0,8.0,8.0,,,2.0,8.0,1.0,1.0,2.0,2.0,,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,3.0,2.0,8.0,9.0,2.0,2.0,2.0,1.0,1.0,9.0,1.0,9.0,1.0,1.0,1.0,8.0,,30.0,2.0,,4.0,,2.0,2.0,,,,,,2.0,12.0,2.0,2.0,1.0,,2.0,9999996.0,9999996.0,4.0,4.0,1.0,996.0,,,,,
658.0,66.0,21.0,2013-02-27,0.5516781871792086,1.0,1.0,,10013.0,1.0,,1.0,4.0,4.0,2.0,2.0,2.0,2.0,5.0,2.0,2.0,2.0,3.0,2.0,4.0,4.0,2.0,1.0,1.0,4.0,4.0,,,,,,,2.0,2.0,4.0,4.0,3.0,2.0,,,3.0,3.0,3.0,3.0,,,,,3.0,3.0,1.0,6.0,1.0,1.0,3.0,2.0,1.0,2.0,1.0,1.0,3.0,3.0,1.0,2.0,2.0,,,1.0,1.0,2.0,1.0,1.0,1.0,4.0,4.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,3.0,3.0,10025.0,4.0,4.0,6.0,2.0,1.0,1.0,6.0,2.0,2.0,2.0,1.0,3.0,3.0,1.0,4.0,1.0,4.0,,4.0,4.0,4.0,1.0,4.0,5.0,2.0,3.0,7.0,6.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,,4.0,3.0,1.0,4.0,4.0,4.0,4.0,4.0,1.0,2.0,4.0,3.0,4.0,4.0,1.0,3.0,1.0,4.0,1.0,4.0,4.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,,3.0,4.0,4.0,3.0,4.0,1.0,2.0,3.0,1.0,3.0,3.0,1.0,3.0,,,,,,,,,,,3.0,3.0,3.0,2.0,3.0,3.0,1.0,,,,,,,,,5.0,1.0,4.0,1.0,1.0,4.0,2.0,3.0,3.0,3.0,3.0,1.0,5.0,1.0,3.0,3.0,2.0,1.0,,,2.0,3.0,3.0,3.0,4.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,3.0,1.0,6.0,9.0,2.0,2.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,,47.0,1.0,,5.0,,1.0,,1.0,1.0,8.0,,2.0,2.0,8.0,1.0,2.0,1.0,,1.0,600.0,1600.0,1.0,4.0,1.0,3.0,,,,,
659.0,66.0,21.0,2013-02-27,1.3994337486349993,1.0,1.0,,10013.0,1.0,,2.0,4.0,4.0,1.0,4.0,2.0,2.0,5.0,2.0,3.0,2.0,2.0,3.0,2.0,4.0,4.0,2.0,4.0,4.0,4.0,,,,,,,2.0,2.0,3.0,3.0,3.0,3.0,,,2.0,8.0,2.0,4.0,,,,,5.0,3.0,1.0,2.0,1.0,3.0,2.0,2.0,1.0,2.0,3.0,1.0,8.0,5.0,2.0,2.0,2.0,,,8.0,1.0,2.0,3.0,1.0,2.0,5.0,5.0,2.0,4.0,5.0,5.0,,,,,,,,,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,3.0,3.0,10022.0,3.0,5.0,5.0,5.0,1.0,5.0,1.0,2.0,2.0,2.0,2.0,3.0,8.0,1.0,4.0,1.0,4.0,,4.0,4.0,4.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,2.0,2.0,4.0,2.0,2.0,4.0,1.0,8.0,,2.0,8.0,1.0,4.0,4.0,3.0,4.0,4.0,2.0,3.0,3.0,1.0,4.0,3.0,1.0,4.0,1.0,4.0,1.0,4.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,2.0,3.0,2.0,,2.0,4.0,4.0,2.0,2.0,2.0,3.0,3.0,1.0,2.0,8.0,1.0,3.0,,,,,,,,,,,2.0,2.0,2.0,1.0,3.0,2.0,1.0,,,,,,,,,2.0,8.0,4.0,1.0,3.0,1.0,2.0,3.0,4.0,3.0,3.0,8.0,5.0,1.0,2.0,2.0,2.0,1.0,,,2.0,2.0,2.0,2.0,8.0,1.0,1.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,3.0,7.0,8.0,9.0,2.0,2.0,2.0,1.0,1.0,3.0,2.0,3.0,1.0,1.0,1.0,4.0,,23.0,2.0,,4.0,,1.0,,2.0,2.0,,9.0,3.0,2.0,4.0,2.0,2.0,1.0,,1.0,9999994.0,9999994.0,2.0,4.0,1.0,3.0,,,,,
660.0,66.0,21.0,2013-02-27,0.6275755438110866,1.0,1.0,,10013.0,1.0,,1.0,2.0,2.0,2.0,3.0,1.0,2.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,,,,,,,2.0,2.0,2.0,2.0,2.0,1.0,,,2.0,2.0,2.0,2.0,,,,,5.0,5.0,1.0,3.0,1.0,2.0,2.0,2.0,3.0,1.0,2.0,1.0,2.0,6.0,2.0,2.0,2.0,,,2.0,3.0,2.0,3.0,2.0,1.0,5.0,5.0,5.0,1.0,5.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,,2.0,2.0,2.0,3.0,3.0,0.0,2.0,8.0,10.0,6.0,3.0,5.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,4.0,3.0,,8.0,4.0,4.0,7.0,4.0,5.0,3.0,1.0,2.0,6.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,,4.0,2.0,2.0,2.0,3.0,4.0,3.0,2.0,1.0,3.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,,2.0,1.0,1.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,,,,,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,,,,5.0,5.0,5.0,2.0,2.0,5.0,4.0,4.0,2.0,9.0,9.0,2.0,1.0,2.0,4.0,1.0,4.0,1.0,,,2.0,2.0,4.0,2.0,6.0,2.0,,5.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,3.0,2.0,8.0,9.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,40.0,1.0,,5.0,,1.0,,2.0,1.0,8.0,,1.0,2.0,3.0,1.0,2.0,1.0,,1.0,730.0,730.0,2.0,4.0,1.0,3.0,,,,,
661.0,67.0,21.0,2013-02-28,0.8718439844053547,2.0,1.0,,10013.0,1.0,,2.0,4.0,4.0,2.0,4.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,4.0,3.0,2.0,1.0,2.0,4.0,4.0,,,,,,,3.0,2.0,4.0,4.0,4.0,4.0,,,4.0,4.0,4.0,4.0,,,,,4.0,4.0,1.0,6.0,8.0,,,,1.0,2.0,3.0,1.0,1.0,2.0,1.0,2.0,2.0,,,2.0,1.0,2.0,2.0,2.0,1.0,3.0,3.0,2.0,5.0,1.0,5.0,,,,,,,,,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,3.0,3.0,10022.0,3.0,6.0,5.0,0.0,1.0,3.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,,4.0,4.0,4.0,4.0,3.0,4.0,5.0,6.0,1.0,2.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,8.0,,3.0,9.0,1.0,4.0,4.0,4.0,3.0,3.0,3.0,2.0,2.0,2.0,4.0,4.0,2.0,3.0,1.0,3.0,2.0,4.0,4.0,1.0,2.0,1.0,3.0,3.0,2.0,1.0,1.0,2.0,2.0,,1.0,2.0,3.0,4.0,2.0,3.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,3.0,,,,,,,,,,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,,,,3.0,3.0,3.0,1.0,1.0,1.0,2.0,3.0,2.0,3.0,3.0,2.0,5.0,1.0,4.0,1.0,2.0,2.0,,,2.0,3.0,3.0,3.0,6.0,1.0,1.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,3.0,1.0,6.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,42.0,2.0,,2.0,,2.0,5.0,,,,,,1.0,,2.0,2.0,1.0,,1.0,9999994.0,800.0,3.0,2.0,1.0,3.0,,,,,
662.0,67.0,21.0,2013-02-28,0.35704842747653853,2.0,1.0,,10013.0,1.0,,1.0,4.0,4.0,2.0,3.0,2.0,2.0,5.0,2.0,3.0,2.0,3.0,2.0,4.0,4.0,2.0,1.0,3.0,4.0,3.0,,,,,,,2.0,2.0,4.0,3.0,5.0,2.0,,,4.0,3.0,3.0,2.0,,,,,3.0,3.0,1.0,7.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,7.0,2.0,2.0,8.0,,,2.0,2.0,2.0,3.0,3.0,2.0,5.0,5.0,1.0,5.0,2.0,8.0,,,,,,,,,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,3.0,3.0,0.0,4.0,7.0,6.0,5.0,1.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,,2.0,3.0,2.0,2.0,3.0,4.0,5.0,2.0,1.0,6.0,7.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,8.0,,4.0,8.0,2.0,2.0,2.0,8.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,,1.0,2.0,1.0,1.0,1.0,3.0,1.0,3.0,2.0,3.0,3.0,3.0,1.0,3.0,,,,,,,,,,,3.0,3.0,3.0,1.0,3.0,2.0,2.0,,,,,,,,,4.0,3.0,2.0,3.0,4.0,4.0,4.0,3.0,2.0,2.0,2.0,2.0,5.0,2.0,4.0,2.0,4.0,2.0,,,1.0,2.0,3.0,2.0,6.0,2.0,,5.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,1.0,4.0,8.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,,75.0,1.0,,2.0,,1.0,,1.0,2.0,,10.0,3.0,2.0,11.0,2.0,2.0,1.0,,1.0,9999994.0,150.0,3.0,4.0,1.0,996.0,,,,,
663.0,67.0,21.0,2013-02-28,1.4880624016023638,2.0,1.0,,10013.0,1.0,,2.0,4.0,1.0,1.0,3.0,2.0,2.0,5.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,1.0,8.0,3.0,3.0,,,,,,,2.0,2.0,4.0,4.0,3.0,3.0,,,4.0,3.0,2.0,2.0,,,,,5.0,5.0,1.0,6.0,8.0,,,,1.0,2.0,1.0,1.0,2.0,3.0,1.0,2.0,1.0,,,1.0,1.0,3.0,3.0,1.0,1.0,5.0,5.0,5.0,5.0,1.0,5.0,,,,,,,,,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,3.0,3.0,0.0,8.0,98.0,98.0,4.0,1.0,3.0,4.0,8.0,8.0,8.0,2.0,2.0,8.0,1.0,4.0,2.0,,4.0,4.0,4.0,4.0,5.0,1.0,2.0,3.0,4.0,6.0,7.0,2.0,2.0,1.0,1.0,1.0,4.0,1.0,8.0,,8.0,10.0,1.0,3.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,1.0,4.0,3.0,1.0,2.0,8.0,4.0,1.0,3.0,3.0,1.0,1.0,1.0,8.0,3.0,1.0,1.0,3.0,3.0,2.0,,2.0,2.0,1.0,3.0,1.0,3.0,1.0,2.0,3.0,8.0,8.0,8.0,8.0,3.0,,,,,,,,,,,3.0,3.0,3.0,3.0,3.0,3.0,2.0,,,,,,,,,8.0,8.0,8.0,8.0,8.0,8.0,8.0,3.0,8.0,3.0,3.0,8.0,5.0,8.0,4.0,8.0,8.0,8.0,,,2.0,3.0,1.0,3.0,6.0,2.0,,5.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,8.0,1.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,4.0,2.0,1.0,1.0,1.0,,65.0,2.0,,2.0,,2.0,2.0,,,,,,3.0,,2.0,2.0,1.0,,1.0,100.0,100.0,3.0,4.0,1.0,996.0,,,,,
664.0,67.0,21.0,2013-02-28,0.6895977720467767,2.0,1.0,,10013.0,1.0,,1.0,4.0,3.0,2.0,1.0,2.0,2.0,5.0,2.0,1.0,2.0,2.0,4.0,4.0,4.0,4.0,1.0,1.0,4.0,4.0,,,,,,,4.0,2.0,5.0,5.0,5.0,5.0,,,4.0,4.0,4.0,4.0,,,,,5.0,5.0,1.0,6.0,1.0,1.0,4.0,2.0,1.0,1.0,4.0,1.0,1.0,10.0,1.0,1.0,3.0,,,2.0,1.0,3.0,3.0,3.0,1.0,5.0,5.0,1.0,5.0,1.0,5.0,,,,,,,,,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,3.0,3.0,10022.0,5.0,0.0,0.0,0.0,4.0,1.0,5.0,4.0,2.0,2.0,2.0,4.0,2.0,1.0,4.0,1.0,,4.0,4.0,4.0,4.0,1.0,2.0,5.0,3.0,4.0,6.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,4.0,10.0,1.0,2.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,2.0,4.0,4.0,1.0,4.0,1.0,4.0,1.0,4.0,4.0,1.0,1.0,1.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,3.0,1.0,,,,,,,,,2.0,2.0,5.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,1.0,1.0,5.0,1.0,1.0,1.0,8.0,8.0,,,2.0,4.0,1.0,1.0,2.0,2.0,,5.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,1.0,1.0,8.0,9.0,2.0,2.0,2.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,,53.0,1.0,,4.0,,2.0,1.0,,,,,1.0,2.0,11.0,1.0,2.0,1.0,,1.0,300.0,300.0,4.0,4.0,1.0,3.0,,,,,
